totalAssets,totalLiabilities,representativeId,date
20625180.2,10116817,261,12/31/18
27510280,12773502.53,266,12/31/16
26161780.61,0,269,12/31/17
27641766.61,0,269,12/31/18
71073508,26700698.75,271,12/31/17
80353508,16500350,271,12/31/18
369735554.4,111060323.2,274,12/31/16
398451329,95733629,274,12/31/17
363343552,61100000,274,12/31/18
43458325,11758400,276,12/31/17
58340185,23718569,276,12/31/18
35679115,19881526.28,283,12/31/16
35725818,19881526.28,283,12/31/17
31193720,5229184.64,284,12/31/16
34857140,6408116.1,284,12/31/17
39017534.8,2026973.9,284,12/31/18
54587807,13060778.54,287,12/31/16
33100000,1586377.01,289,12/31/16
45729941.2,10000000,289,12/31/17
31729941.2,10000000,289,12/31/18
36340774,0,291,12/31/17
38832326.61,0,291,12/31/18
348055233.3,21776664.14,292,12/31/17
427995591.4,100639853.8,292,12/31/18
236988707.7,25900000,294,12/31/16
236603707.7,25000000,294,12/31/17
237424765,24500000,294,12/31/18
29754971.89,9131526.74,295,12/31/16
32518180.22,1305451.33,295,12/31/17
55558807.06,5456988.56,295,12/31/18
95132949.89,51778532,298,12/31/16
94705545.08,50126532,298,12/31/17
113300619.8,69434532,298,12/31/18
659035495.3,423414235.2,300,12/31/16
583221899.7,341580901.9,300,12/31/17
622587270.4,366183843,300,12/31/18
217798000,165000000,301,12/31/16
275118000,215000000,301,12/31/17
324189000,237500000,301,12/31/18
150380000,0,304,12/31/16
151380000,0,304,12/31/17
153380000,0,304,12/31/18
1766681.09,415273.42,305,12/31/16
2048889.1,401093.49,305,12/31/17
2139414.47,429366.22,305,12/31/18
90134705.53,5315643.53,306,12/31/16
